#Accession	Name	Function	Category	TC
TIGR01488	HAD-SF-IB	HAD phosphoserine phosphatase-like hydrolase, family IB	Unknown function	45
TIGR01489	DKMTPPase-SF	2,3-diketo-5-methylthio-1-phosphopentane phosphatase	Central intermediary metabolism	81.55
TIGR01490	HAD-SF-IB-hyp1	HAD hydrolase, family IB	Unknown function	98.3
TIGR01491	HAD-SF-IB-PSPlk	phosphoserine phosphatase-like hydrolase, archaeal	Other	151.9
TIGR01492	CPW_WPC	Plasmodium falciparum CPW-WPC domain	Other	35.6
TIGR01493	HAD-SF-IA-v2	HAD hydrolase, family IA, variant 2	Other	39
TIGR01494	ATPase_P-type	HAD ATPase, P-type, family IC	Other	62.3
TIGR01495	ETRAMP	early transcribed membrane protein (ETRAMP) family	Other	32.75
TIGR01496	DHPS	dihydropteroate synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	162.6
TIGR01497	kdpB	K+-transporting ATPase, B subunit	Transport and binding proteins	527.9
TIGR01498	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	Biosynthesis of cofactors, prosthetic groups, and carriers	54.1
TIGR01499	folC	bifunctional protein FolC	Biosynthesis of cofactors, prosthetic groups, and carriers	162.65
TIGR01500	sepiapter_red	sepiapterin reductase	Other	206.55
TIGR01501	MthylAspMutase	methylaspartate mutase, S subunit	Energy metabolism	135.8
TIGR01502	B_methylAsp_ase	methylaspartate ammonia-lyase	Energy metabolism	286.15
TIGR01503	MthylAspMut_E	methylaspartate mutase, E subunit	Energy metabolism	390.1
TIGR01504	glyox_carbo_lig	glyoxylate carboligase	Other	711.2
TIGR01505	tartro_sem_red	2-hydroxy-3-oxopropionate reductase	Other	340.75
TIGR01506	ribC_arch	riboflavin synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	100.55
TIGR01507	hopene_cyclase	squalene-hopene cyclase	Fatty acid and phospholipid metabolism	431.1
TIGR01508	rib_reduct_arch	diaminohydroxyphosphoribosylaminopyrimidine reductase	Other	186.45
TIGR01509	HAD-SF-IA-v3	HAD hydrolase, family IA, variant 3	Unknown function	29.4
TIGR01510	coaD_prev_kdtB	pantetheine-phosphate adenylyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	103.3
TIGR01511	ATPase-IB1_Cu	copper-translocating P-type ATPase	Transport and binding proteins	397
TIGR01512	ATPase-IB2_Cd	cadmium-translocating P-type ATPase	Transport and binding proteins	313.5
TIGR01513	NAPRTase_put	nicotinate phosphoribosyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	297.4
TIGR01514	NAPRTase	nicotinate phosphoribosyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	269.55
TIGR01515	branching_enzym	1,4-alpha-glucan branching enzyme	Energy metabolism	463.95
TIGR01517	ATPase-IIB_Ca	calcium-translocating P-type ATPase, PMCA-type	Other	507.05
TIGR01518	g3p_cytidyltrns	glycerol-3-phosphate cytidylyltransferase	Cell envelope	165.4
TIGR01519	plasmod_dom_1	Plasmodium falciparum uncharacterized domain	Other	29.35
TIGR01520	FruBisAldo_II_A	fructose-bisphosphate aldolase, class II	Energy metabolism	347.7
TIGR01521	FruBisAldo_II_B	fructose-bisphosphate aldolase, class II, Calvin cycle subtype	Other	496.35
TIGR01522	ATPase-IIA2_Ca	calcium-transporting P-type ATPase, PMR1-type	Other	798.3
TIGR01523	ATPase-IID_K-Na	potassium/sodium efflux P-type ATPase, fungal-type	Other	645.05
TIGR01524	ATPase-IIIB_Mg	magnesium-translocating P-type ATPase	Transport and binding proteins	610.75
TIGR01525	ATPase-IB_hvy	heavy metal translocating P-type ATPase	Other	346.25
TIGR01526	nadR_NMN_Atrans	nicotinamide-nucleotide adenylyltransferase	Other	341.15
TIGR01527	arch_NMN_Atrans	nicotinamide-nucleotide adenylyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	181.2
TIGR01528	NMN_trans_PnuC	nicotinamide mononucleotide transporter PnuC	Transport and binding proteins	42.45
TIGR01529	argR_whole	arginine repressor	Regulatory functions	130.45
TIGR01530	nadN	NAD nucleotidase	Transport and binding proteins	436
TIGR01531	glyc_debranch	glycogen debranching enzyme	Energy metabolism	1399.55
TIGR01532	E4PD_g-proteo	erythrose-4-phosphate dehydrogenase	Biosynthesis of cofactors, prosthetic groups, and carriers	530.55
TIGR01533	lipo_e_P4	5'-nucleotidase, lipoprotein e(P4) family	Transport and binding proteins	216.05
TIGR01534	GAPDH-I	glyceraldehyde-3-phosphate dehydrogenase, type I	Energy metabolism	367.2
TIGR01535	glucan_glucosid	glucan 1,4-alpha-glucosidase	Energy metabolism	741.9
TIGR01536	asn_synth_AEB	asparagine synthase (glutamine-hydrolyzing)	Amino acid biosynthesis	267.1
TIGR01537	portal_HK97	phage portal protein, HK97 family	Mobile and extrachromosomal element functions	112.05
TIGR01538	portal_SPP1	phage portal protein, SPP1 family	Mobile and extrachromosomal element functions	165.85
TIGR01539	portal_lambda	phage portal protein, lambda family	Mobile and extrachromosomal element functions	172.7
TIGR01540	portal_PBSX	phage portal protein, PBSX family	Mobile and extrachromosomal element functions	166.05
TIGR01541	tape_meas_lam_C	phage tail tape measure protein, lambda family	Mobile and extrachromosomal element functions	104.75
TIGR01542	A118_put_portal	phage portal protein, putative, A118 family	Mobile and extrachromosomal element functions	277.2
TIGR01543	proheadase_HK97	phage prohead protease, HK97 family	Protein fate	59
TIGR01544	HAD-SF-IE	HAD hydrolase, family IE	Other	256.95
TIGR01545	YfhB_g-proteo	HAD hydrolase, family IF	Other	259.25
TIGR01546	GAPDH-II_archae	glyceraldehyde-3-phosphate dehydrogenase, type II	Other	232.9
TIGR01547	phage_term_2	phage terminase, large subunit, PBSX family	Mobile and extrachromosomal element functions	105.05
TIGR01548	HAD-SF-IA-hyp1	HAD hydrolase, TIGR01548 family	Other	140.2
TIGR01549	HAD-SF-IA-v1	HAD hydrolase, family IA, variant 1	Unknown function	23.3
TIGR01550	DOC_P1	death-on-curing family protein	Unknown function	38.65
TIGR01551	major_capsid_P2	phage major capsid protein, P2 family	Mobile and extrachromosomal element functions	219.65
TIGR01552	phd_fam	prevent-host-death family protein	Mobile and extrachromosomal element functions	20.8
TIGR01553	formate-DH-alph	formate dehydrogenase-N alpha subunit	Energy metabolism	814.2
TIGR01554	major_cap_HK97	phage major capsid protein, HK97 family	Mobile and extrachromosomal element functions	23.5
TIGR01555	phge_rel_HI1409	phage-associated protein, HI1409 family	Mobile and extrachromosomal element functions	196.25
TIGR01556	rhamnosyltran	rhamnosyltransferase	Cell envelope	200.55
TIGR01557	myb_SHAQKYF	myb-like DNA-binding domain, SHAQKYF class	Other	29.3
TIGR01558	sm_term_P27	putative phage terminase, small subunit, P27 family	Mobile and extrachromosomal element functions	45.6
TIGR01559	squal_synth	farnesyl-diphosphate farnesyltransferase	Other	286.75
TIGR01560	put_DNA_pack	uncharacterized phage protein (possible DNA packaging)	Mobile and extrachromosomal element functions	26.35
TIGR01561	gde_arch	putative glycogen debranching enzyme, archaeal type	Energy metabolism	364.15
TIGR01562	FdhE	formate dehydrogenase accessory protein FdhE	Other	187.65
TIGR01563	gp16_SPP1	putative phage head-tail adaptor	Mobile and extrachromosomal element functions	20.6
TIGR01564	S_layer_MJ	S-layer protein	Cell envelope	25
TIGR01565	homeo_ZF_HD	homeobox domain, ZF-HD class	Other	57.45
TIGR01566	ZF_HD_prot_N	ZF-HD homeobox protein Cys/His-rich dimerization domain	Other	51.1
TIGR01567	S_layer_rel_Mac	S-layer family duplication domain	Cell envelope	121.9
TIGR01568	A_thal_3678	uncharacterized plant-specific domain TIGR01568	Other	46.45
TIGR01569	A_tha_TIGR01569	plant integral membrane protein TIGR01569	Other	41.45
TIGR01570	A_thal_3588	uncharacterized plant-specific domain TIGR01570	Other	109.55
TIGR01571	A_thal_Cys_rich	uncharacterized Cys-rich domain	Other	35.05
TIGR01572	A_thl_para_3677	Arabidopsis paralogous family TIGR01572	Other	104.2
TIGR01573	cas2	CRISPR-associated endonuclease Cas2	Other	24.5
TIGR01574	miaB-methiolase	tRNA-i(6)A37 thiotransferase enzyme MiaB	Protein synthesis	355.3
TIGR01575	rimI	ribosomal-protein-alanine acetyltransferase	Protein synthesis	86.4
TIGR01577	oligosac_amyl	oligosaccharide amylase	Other	820.7
TIGR01578	MiaB-like-B	MiaB-like tRNA modifying enzyme, archaeal-type	Protein synthesis	314.7
TIGR01579	MiaB-like-C	MiaB-like tRNA modifying enzyme	Protein synthesis	357.05
TIGR01580	narG	nitrate reductase, alpha subunit	Energy metabolism	1084.15
TIGR01581	Mo_ABC_porter	NifC-like ABC-type porter	Other	210.3
TIGR01582	FDH-beta	formate dehydrogenase, beta subunit	Energy metabolism	334.7
TIGR01583	formate-DH-gamm	formate dehydrogenase, gamma subunit	Energy metabolism	115.85
TIGR01584	citF	citrate lyase, alpha subunit	Energy metabolism	501.45
TIGR01586	yopT_cys_prot	cysteine protease domain, YopT-type	Cellular processes	52.95
TIGR01587	cas3_core	CRISPR-associated helicase Cas3	Other	102.45
TIGR01588	citE	citrate (pro-3S)-lyase, beta subunit	Energy metabolism	443.4
TIGR01589	A_thal_3526	uncharacterized plant-specific domain TIGR01589	Other	36.55
TIGR01590	yir-bir-cir_Pla	yir/bir/cir-family of variant antigens	Other	71.1
TIGR01591	Fdh-alpha	formate dehydrogenase, alpha subunit	Other	666.25
TIGR01592	holin_SPP1	holin, SPP1 family	Mobile and extrachromosomal element functions	47.3
TIGR01593	holin_tox_secr	toxin secretion/phage lysis holin	Protein fate	40.2
TIGR01594	holin_lambda	phage holin, lambda family	Mobile and extrachromosomal element functions	55.05
TIGR01595	cas_CT1132	CRISPR-associated protein, CT1132 family	Other	125.8
TIGR01596	cas3_HD	CRISPR-associated endonuclease Cas3-HD	Other	43.45
TIGR01597	PYST-B	Plasmodium yoelii subtelomeric family PYST-B	Other	175.5
TIGR01598	holin_phiLC3	holin, phage phi LC3 family	Mobile and extrachromosomal element functions	39.7
TIGR01599	PYST-A	Plasmodium yoelii subtelomeric family PYST-A	Other	114.8
TIGR01600	phage_tail_L	phage minor tail protein L	Mobile and extrachromosomal element functions	70.75
TIGR01601	PYST-C1	Plasmodium yoelii subtelomeric domain PYST-C1	Other	54.75
TIGR01602	PY-rept-46	Plasmodium yoelii repeat of length 46	Other	48.25
TIGR01603	maj_tail_phi13	phage major tail protein, phi13 family	Mobile and extrachromosomal element functions	35.2
TIGR01604	PYST-C2	Plasmodium yoelii subtelomeric domain PYST-C2	Other	40.35
TIGR01605	PYST-D	Plasmodium yoelii subtelomeric family PYST-D	Other	41.4
TIGR01606	holin_BlyA	holin, BlyA family	Mobile and extrachromosomal element functions	52.85
TIGR01607	PST-A	Plasmodium subtelomeric family	Other	218.25
TIGR01608	citD	citrate lyase acyl carrier protein	Energy metabolism	63.5
TIGR01609	PF_unchar_267	Plasmodium falciparum uncharacterized protein TIGR01609	Other	74.55
TIGR01610	phage_O_Nterm	phage replication protein O, N-terminal domain	Mobile and extrachromosomal element functions	45.5
TIGR01611	tail_tube	phage major tail tube protein	Mobile and extrachromosomal element functions	102.75
TIGR01612	235kDa-fam	rhoptry protein	Other	1615.85
TIGR01613	primase_Cterm	phage/plasmid primase, P4 family, C-terminal domain	Mobile and extrachromosomal element functions	108.7
TIGR01614	PME_inhib	pectinesterase inhibitor domain	Other	35.95
TIGR01615	A_thal_3542	uncharacterized plant-specific domain TIGR01615	Other	80.05
TIGR01616	nitro_assoc	nitrogenase-associated protein	Unknown function	109
TIGR01617	arsC_related	transcriptional regulator, Spx/MgsR family	Regulatory functions	75.05
TIGR01618	phage_P_loop	phage nucleotide-binding protein	Mobile and extrachromosomal element functions	138.75
TIGR01619	hyp_HI0040	TIGR01619 family protein	Other	149.4
TIGR01620	hyp_HI0043	TIGR01620 family protein	Other	166
TIGR01621	RluA-like	pseudouridine synthase Rlu family protein, TIGR01621	Protein synthesis	222.3
TIGR01622	SF-CC1	splicing factor, CC1-like family	Other	231.65
TIGR01623	put_zinc_LRP1	putative zinc finger domain, LRP1 type	Other	42
TIGR01624	LRP1_Cterm	LRP1 C-terminal domain	Other	36.4
TIGR01625	YidE_YbjL_dupl	AspT/YidE/YbjL antiporter duplication domain	Transport and binding proteins	71.95
TIGR01626	ytfJ_HI0045	conserved hypothetical protein YtfJ-family, TIGR01626	Other	151.1
TIGR01627	A_thal_3515	uncharacterized plant-specific domain TIGR01627	Other	149.85
TIGR01628	PABP-1234	polyadenylate binding protein, human types 1, 2, 3, 4 family	Other	497.1
TIGR01629	rep_II_X	phage/plasmid replication protein, gene II/X family	Mobile and extrachromosomal element functions	29
TIGR01630	psiM2_ORF9	phage uncharacterized protein, C-terminal domain	Mobile and extrachromosomal element functions	41.65
TIGR01631	Trypano_RHS	trypanosome RHS family	Other	89.75
TIGR01632	L11_bact	ribosomal protein uL11	Protein synthesis	141.85
TIGR01633	phi3626_gp14_N	putative phage tail component, N-terminal domain	Mobile and extrachromosomal element functions	23.65
TIGR01634	tail_P2_I	phage tail protein I	Mobile and extrachromosomal element functions	30.05
TIGR01635	tail_comp_S	phage virion morphogenesis protein	Mobile and extrachromosomal element functions	37.65
TIGR01636	phage_rinA	phage transcriptional regulator, RinA family	Regulatory functions	31.9
TIGR01637	phage_arpU	phage transcriptional regulator, ArpU family	Regulatory functions	43.1
TIGR01638	Atha_cystat_rel	Arabidopsis thaliana cystatin-related protein	Other	32.05
TIGR01639	P_fal_TIGR01639	Plasmodium falciparum uncharacterized domain TIGR01639	Other	25.75
TIGR01640	F_box_assoc_1	F-box protein interaction domain	Other	37.9
TIGR01641	phageSPP1_gp7	phage head morphogenesis protein, SPP1 gp7 family	Mobile and extrachromosomal element functions	39.65
TIGR01642	U2AF_lg	U2 snRNP auxilliary factor, large subunit, splicing factor	Other	310.3
TIGR01643	YD_repeat_2x	YD repeat (two copies)	Other	15.8
TIGR01644	phage_P2_V	phage baseplate assembly protein V	Mobile and extrachromosomal element functions	46.75
TIGR01645	half-pint	poly-U binding splicing factor, half-pint family	Other	443.95
TIGR01646	vgr_GE	Rhs element Vgr protein	Other	121.8
TIGR01647	ATPase-IIIA_H	plasma-membrane proton-efflux P-type ATPase	Other	615.5
TIGR01648	hnRNP-R-Q	hnRNP-R, Q splicing factor family	Other	317.85
TIGR01649	hnRNP-L_PTB	hnRNP-L/PTB/hephaestus splicing factor family	Other	287.4
TIGR01650	PD_CobS	cobaltochelatase, CobS subunit	Biosynthesis of cofactors, prosthetic groups, and carriers	558.55
TIGR01651	CobT	cobaltochelatase, CobT subunit	Biosynthesis of cofactors, prosthetic groups, and carriers	759.05
TIGR01652	ATPase-Plipid	phospholipid-translocating P-type ATPase, flippase	Other	431.25
TIGR01653	lactococcin_972	bacteriocin, lactococcin 972 family	Cellular processes	32.1
TIGR01654	bact_immun_7tm	bacteriocin-associated integral membrane protein	Cellular processes	189.35
TIGR01655	yxeA_fam	conserved hypothetical protein	Hypothetical proteins	29.65
TIGR01656	Histidinol-ppas	histidinol-phosphate phosphatase domain	Other	84.15
TIGR01657	P-ATPase-V	P-type ATPase of unknown pump specificity (type V)	Other	618.25
TIGR01658	EYA-cons_domain	EYA conserved domain	Other	195.3
TIGR01659	sex-lethal	sex-lethal family splicing factor	Other	486.2
TIGR01660	narH	nitrate reductase, beta subunit	Energy metabolism	524.05
TIGR01661	ELAV_HUD_SF	ELAV/HuD family splicing factor	Other	279.1
TIGR01662	HAD-SF-IIIA	HAD hydrolase, family IIIA	Unknown function	44.6
TIGR01663	PNK-3'Pase	polynucleotide kinase 3'-phosphatase	Other	502.8
TIGR01664	DNA-3'-Pase	DNA 3'-phosphatase	Other	107.65
TIGR01665	put_anti_recept	phage minor structural protein, N-terminal region	Mobile and extrachromosomal element functions	26.75
TIGR01666	YCCS	TIGR01666 family membrane protein	Cell envelope	470.75
TIGR01667	YCCS_YHJK	integral membrane protein, YccS/YhfK family	Other	467.8
TIGR01668	YqeG_hyp_ppase	HAD phosphatase, family IIIA	Other	89.1
TIGR01669	phage_XkdX	phage uncharacterized protein, XkdX family	Mobile and extrachromosomal element functions	28.2
TIGR01670	KdsC-phosphatas	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family	Cell envelope	106.95
TIGR01671	phage_TIGR01671	phage conserved hypothetical protein TIGR01671	Mobile and extrachromosomal element functions	41.3
TIGR01672	AphA	HAD phosphatase, family IIIB	Other	195.8
TIGR01673	holin_LLH	phage holin, LL-H family	Mobile and extrachromosomal element functions	34.75
TIGR01674	phage_lambda_G	phage minor tail protein G	Mobile and extrachromosomal element functions	74.45
TIGR01675	plant-AP	plant acid phosphatase	Other	264.3
TIGR01676	GLDHase	galactonolactone dehydrogenase	Other	458.25
TIGR01677	pln_FAD_oxido	plant-specific FAD-dependent oxidoreductase	Other	383.1
TIGR01678	FAD_lactone_ox	sugar 1,4-lactone oxidases	Other	396.8
TIGR01679	bact_FAD_ox	FAD-linked oxidoreductase	Other	292.25
TIGR01680	Veg_Stor_Prot	vegetative storage protein	Other	375.8
TIGR01681	HAD-SF-IIIC	HAD phosphatase, family IIIC	Other	35.75
TIGR01682	moaD	molybdopterin converting factor, subunit 1	Biosynthesis of cofactors, prosthetic groups, and carriers	66.15
TIGR01683	thiS	thiamine biosynthesis protein ThiS	Biosynthesis of cofactors, prosthetic groups, and carriers	37.45
TIGR01684	viral_ppase	viral phosphatase	Other	134
TIGR01685	MDP-1	magnesium-dependent phosphatase-1	Other	53.75
TIGR01686	FkbH	FkbH domain	Other	146.65
TIGR01687	moaD_arch	MoaD family protein	Biosynthesis of cofactors, prosthetic groups, and carriers	49.5
TIGR01688	dltC	D-alanine--poly(phosphoribitol) ligase, subunit 2	Cell envelope	52.35
TIGR01689	EcbF-BcbF	capsule biosynthesis phosphatase	Other	162
TIGR01690	ICE_RAQPRD	integrative conjugative element protein, RAQPRD family	Mobile and extrachromosomal element functions	60.85
TIGR01691	enolase-ppase	2,3-diketo-5-methylthio-1-phosphopentane phosphatase	Central intermediary metabolism	128.1
TIGR01692	HIBADH	3-hydroxyisobutyrate dehydrogenase	Energy metabolism	291.6
TIGR01693	UTase_glnD	protein-P-II uridylyltransferase	Regulatory functions	519.4
TIGR01694	MTAP	methylthioadenosine phosphorylase	Purines, pyrimidines, nucleosides, and nucleotides	274.85
TIGR01695	murJ_mviN	murein biosynthesis integral membrane protein MurJ	Cell envelope	235.55
TIGR01696	deoB	phosphopentomutase	Purines, pyrimidines, nucleosides, and nucleotides	341.2
TIGR01697	PNPH-PUNA-XAPA	inosine/guanosine/xanthosine phosphorylase family	Other	197.1
TIGR01698	PUNP	purine nucleotide phosphorylase	Other	302.6
TIGR01699	XAPA	xanthosine phosphorylase	Other	370.9
TIGR01700	PNPH	purine nucleoside phosphorylase I, inosine and guanosine-specific	Purines, pyrimidines, nucleosides, and nucleotides	293.35
TIGR01701	Fdhalpha-like	oxidoreductase alpha (molybdopterin) subunit	Other	582.15
TIGR01702	CO_DH_cata	carbon-monoxide dehydrogenase, catalytic subunit	Other	478
TIGR01703	hybrid_clust	hydroxylamine reductase	Energy metabolism	360.8
TIGR01704	MTA/SAH-Nsdase	MTA/SAH nucleosidase	Purines, pyrimidines, nucleosides, and nucleotides	73.8
TIGR01705	MTA/SAH-nuc-hyp	putative 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	Other	152.2
